,Date,Average Duration,No. of devices,No. of browsers,No. of sites visited,Download GB,Upload GB,E-commerce Visits,Social Media Visits,Peak Bandwidth Time
114,2015-04-25,23.0,101.0,2004.0,201.0,6516.0,5836.0,10142.0,10658.32654894828,12.0
115,2015-04-26,15.0,101.0,1495.0,201.0,6903.0,4586.0,10220.0,10494.989540517983,5.0
116,2015-04-27,16.0,101.0,2246.0,201.0,7309.0,4329.0,11489.0,10857.030767641561,7.0
117,2015-04-28,15.0,101.0,1916.0,201.0,7858.0,5880.0,11162.0,11283.584098993142,5.0
118,2015-04-29,23.0,101.0,1669.0,201.0,7161.0,4241.0,11475.0,11632.101354840033,13.0
119,2015-04-30,21.0,101.0,1371.0,201.0,7813.0,5136.0,11249.0,10742.033416095985,8.0
120,2015-05-01,21.0,101.0,1985.0,201.0,7782.0,3793.0,10435.0,10997.712457961788,12.0
121,2015-05-02,23.0,101.0,1614.0,201.0,7410.0,6029.0,11484.0,11660.003701489319,3.0
122,2015-05-03,21.0,101.0,2602.0,201.0,6706.0,5179.0,10652.0,11097.166039606229,8.0
123,2015-05-04,19.0,101.0,1328.0,201.0,6829.0,5692.0,10271.0,10865.968809337226,5.0
124,2015-05-05,16.0,101.0,1729.0,201.0,7914.0,5455.0,11204.0,11236.470710694513,3.0
125,2015-05-06,14.0,101.0,2368.0,201.0,7825.0,4099.0,10819.0,11770.153235163752,5.0
126,2015-05-07,16.0,101.0,2560.0,201.0,7037.0,5774.0,10400.0,11712.728161549883,8.0
127,2015-05-08,20.0,101.0,1768.0,201.0,7862.0,4280.0,11026.0,11832.087859082887,12.0
128,2015-05-09,13.0,101.0,1068.0,201.0,7729.0,4904.0,11334.0,10468.575721554711,7.0
129,2015-05-10,13.0,101.0,1783.0,201.0,7153.0,5887.0,10304.0,10425.057399159166,14.0
130,2015-05-11,16.0,101.0,1995.0,201.0,7886.0,5159.0,11505.0,11824.608129954502,19.0
131,2015-05-12,19.0,101.0,2252.0,201.0,8039.0,3939.0,11893.0,11784.902058556992,11.0
132,2015-05-13,22.0,101.0,1244.0,201.0,7501.0,4981.0,10364.0,11564.274629305559,6.0
133,2015-05-14,16.0,101.0,2088.0,201.0,7525.0,4349.0,10606.0,10538.208057510927,8.0
134,2015-05-15,14.0,101.0,1785.0,201.0,7802.0,4133.0,11133.0,11203.826693952851,9.0
135,2015-05-16,14.0,101.0,2517.0,201.0,7350.0,5179.0,11992.0,11203.899638393475,11.0
136,2015-05-17,24.0,101.0,1142.0,201.0,6894.0,5501.0,11890.0,11754.115031528829,7.0
137,2015-05-18,14.0,101.0,2718.0,201.0,6812.0,4596.0,11137.0,11282.12203972867,4.0
138,2015-05-19,16.0,101.0,2432.0,201.0,7943.0,5690.0,10816.0,11013.401669395465,2.0
139,2015-05-20,19.0,101.0,2045.0,201.0,8059.0,5835.0,11971.0,10789.375618203405,5.0
140,2015-05-21,12.0,101.0,1673.0,201.0,7319.0,4712.0,11555.0,11126.948339509798,11.0
141,2015-05-22,23.0,101.0,1235.0,201.0,6809.0,4985.0,11947.0,11014.025798094692,13.0
142,2015-05-23,24.0,101.0,2661.0,201.0,7556.0,5947.0,11002.0,12088.915888733605,11.0
143,2015-05-24,19.0,101.0,1243.0,201.0,7929.0,6055.0,10900.0,11614.292223499873,5.0
144,2015-05-25,13.0,101.0,2397.0,201.0,6875.0,5873.0,11605.0,11118.506910434013,7.0
145,2015-05-26,16.0,101.0,2729.0,201.0,7591.0,4406.0,10743.0,10743.067243342532,8.0
146,2015-05-27,21.0,101.0,2461.0,201.0,7628.0,5669.0,11991.0,11570.084253026042,7.0
147,2015-05-28,14.0,101.0,2030.0,201.0,6884.0,4433.0,11418.0,12113.96662701103,14.0
148,2015-05-29,19.0,101.0,2707.0,201.0,6914.0,5942.0,12006.0,12159.739682803272,9.0
149,2015-05-30,15.0,101.0,1354.0,201.0,7405.0,5343.0,11212.0,11511.593021850545,8.0
150,2015-05-31,23.0,101.0,2816.0,201.0,7806.0,6351.0,11478.0,12282.553375111976,14.0
151,2015-06-01,20.0,101.0,2238.0,201.0,7210.0,5900.0,12282.0,12322.906846166718,13.0
152,2015-06-02,15.0,101.0,1870.0,201.0,8109.0,5908.0,11680.0,12057.784721273298,8.0
153,2015-06-03,13.0,101.0,2448.0,201.0,6893.0,5090.0,11280.0,12298.358557995161,14.0
154,2015-06-04,21.0,101.0,1697.0,201.0,7463.0,4949.0,10799.0,11591.942227734222,7.0
155,2015-06-05,21.0,101.0,1377.0,201.0,7386.0,6122.0,12380.0,11580.04009506292,5.0
156,2015-06-06,21.0,101.0,2625.0,201.0,8065.0,6667.0,11274.0,11064.268067008292,4.0
157,2015-06-07,23.0,101.0,2687.0,201.0,8015.0,5233.0,10850.0,11091.88103252804,9.0
158,2015-06-08,20.0,101.0,2022.0,201.0,7766.0,5156.0,12339.0,11069.02379933057,4.0
159,2015-06-09,19.0,101.0,2162.0,201.0,7755.0,5708.0,12365.0,12439.2972219424,9.0
160,2015-06-10,14.0,101.0,2538.0,201.0,7036.0,5877.0,11527.0,11574.535969137583,14.0
161,2015-06-11,20.0,101.0,1876.0,201.0,7801.0,4739.0,11939.0,11283.000135137796,13.0
162,2015-06-12,23.0,101.0,1922.0,201.0,7745.0,5121.0,11516.0,12155.13278417475,4.0
163,2015-06-13,22.0,101.0,1433.0,201.0,7080.0,5739.0,11377.0,11202.729246334726,8.0
164,2015-06-14,23.0,101.0,1532.0,201.0,7984.0,5352.0,11686.0,12147.049606371878,7.0
165,2015-06-15,21.0,101.0,1455.0,201.0,8389.0,6890.0,12098.0,12131.473632510993,11.0
166,2015-06-16,18.0,101.0,1435.0,201.0,8329.0,4798.0,11246.0,12564.704664599753,5.0
167,2015-06-17,17.0,101.0,1658.0,201.0,7507.0,6203.0,11034.0,11763.127758260081,5.0
168,2015-06-18,22.0,101.0,1904.0,201.0,8444.0,6983.0,11529.0,11334.234515408336,10.0
169,2015-06-19,23.0,101.0,2287.0,201.0,8457.0,6807.0,11436.0,12282.548179190306,13.0
170,2015-06-20,19.0,101.0,2908.0,201.0,7321.0,5865.0,11796.0,11463.13083289744,6.0
171,2015-06-21,16.0,101.0,2627.0,201.0,7828.0,5143.0,11339.0,11626.840608622497,4.0
172,2015-06-22,16.0,101.0,1792.0,201.0,7899.0,5803.0,11167.0,12257.904583842517,14.0
173,2015-06-23,22.0,101.0,1595.0,201.0,7752.0,5305.0,12078.0,11813.965946651626,8.0
174,2015-06-24,14.0,101.0,2172.0,201.0,7687.0,6910.0,12806.0,12727.396967496235,7.0
175,2015-06-25,20.0,101.0,1637.0,201.0,7836.0,6540.0,12648.0,11895.573290205082,12.0
176,2015-06-26,16.0,101.0,1954.0,201.0,7274.0,5560.0,11794.0,12798.794930556991,13.0
177,2015-06-27,21.0,101.0,1509.0,201.0,7176.0,4934.0,11745.0,11806.587189194697,14.0
178,2015-06-28,21.0,101.0,2305.0,201.0,7250.0,5364.0,12269.0,11830.734922878366,8.0
179,2015-06-29,20.0,101.0,1670.0,201.0,8667.0,5423.0,12617.0,12512.940153366111,10.0
180,2015-06-30,19.0,101.0,3020.0,201.0,8038.0,6117.0,12791.0,12742.039521982842,4.0
181,2015-07-01,17.0,101.0,2914.0,201.0,8483.0,6807.0,11636.0,11514.779599376296,1.0
182,2015-07-02,21.0,101.0,2840.0,201.0,7447.0,6703.0,11641.0,12795.250474161527,16.0
183,2015-07-03,20.0,101.0,2038.0,201.0,8208.0,5413.0,11372.0,11639.01354851138,6.0
184,2015-07-04,17.0,101.0,1525.0,201.0,8181.0,6598.0,12669.0,11641.925935810745,9.0
185,2015-07-05,12.0,101.0,2819.0,201.0,7930.0,6449.0,13038.0,12152.583724833528,13.0
186,2015-07-06,16.0,101.0,2363.0,201.0,7639.0,6790.0,12630.0,11612.51471625662,8.0
187,2015-07-07,20.0,101.0,2457.0,201.0,7677.0,5842.0,12003.0,12836.297507154904,16.0
188,2015-07-08,17.0,101.0,2564.0,201.0,8738.0,6386.0,12387.0,12757.525603905451,6.0
189,2015-07-09,16.0,101.0,1569.0,201.0,8318.0,6736.0,12269.0,11697.769316235472,11.0
190,2015-07-10,19.0,101.0,1930.0,201.0,7311.0,5490.0,12949.0,12186.401875717287,7.0
191,2015-07-11,13.0,101.0,2405.0,201.0,7828.0,6218.0,11651.0,12463.29891746042,10.0
192,2015-07-12,13.0,101.0,2100.0,201.0,7586.0,7165.0,12695.0,12452.123030876792,11.0
193,2015-07-13,20.0,101.0,2317.0,201.0,7733.0,7185.0,13126.0,12717.223087019795,18.0
194,2015-07-14,13.0,101.0,2407.0,201.0,8043.0,6768.0,12887.0,12865.521248140278,14.0
195,2015-07-15,16.0,101.0,1818.0,201.0,7893.0,6068.0,13111.0,12324.036836873021,11.0
196,2015-07-16,18.0,101.0,3052.0,201.0,8843.0,7325.0,13055.0,12502.459515838402,9.0
197,2015-07-17,13.0,101.0,2715.0,201.0,7497.0,5341.0,12906.0,11761.020138679873,10.0
198,2015-07-18,21.0,101.0,2694.0,201.0,8163.0,6114.0,11946.0,11913.649179993356,10.0
199,2015-07-19,22.0,101.0,1845.0,201.0,7904.0,7306.0,12803.0,12874.140112378152,6.0
200,2015-07-20,23.0,101.0,1546.0,201.0,7469.0,5705.0,13264.0,12468.991097788143,8.0
201,2015-07-21,22.0,101.0,2239.0,201.0,7893.0,5870.0,12961.0,12340.601947331366,8.0
202,2015-07-22,19.0,101.0,1606.0,201.0,7865.0,5826.0,12978.0,12567.712269736448,11.0
203,2015-07-23,22.0,101.0,2658.0,201.0,8683.0,7396.0,12946.0,11958.248744572671,9.0
204,2015-07-24,20.0,101.0,2124.0,201.0,8254.0,7576.0,13268.0,12171.567370749473,7.0
205,2015-07-25,20.0,101.0,2060.0,201.0,8516.0,5480.0,12502.0,12245.024613799747,12.0
206,2015-07-26,12.0,101.0,2996.0,201.0,8057.0,7370.0,12587.0,13073.968667342722,12.0
207,2015-07-27,16.0,101.0,3164.0,201.0,8373.0,5922.0,13070.0,12871.526556612707,9.0
208,2015-07-28,14.0,101.0,2859.0,201.0,8204.0,6051.0,12275.0,12359.307768528459,13.0
209,2015-07-29,15.0,101.0,2290.0,201.0,7971.0,5659.0,11937.0,11899.957825179144,4.0
210,2015-07-30,12.0,101.0,2886.0,201.0,7863.0,6239.0,12159.0,12450.454333828504,17.0
211,2015-07-31,20.0,101.0,1664.0,201.0,8477.0,6505.0,13439.0,12616.635952850085,7.0
212,2015-08-01,17.0,101.0,2640.0,201.0,8622.0,6385.0,13005.0,12297.765986758182,12.0
213,2015-08-02,19.0,101.0,2407.0,201.0,8762.0,6921.0,12002.0,12626.28738919746,13.0
214,2015-08-03,18.0,101.0,2293.0,201.0,8421.0,6599.0,12983.0,12900.836119415177,11.0
215,2015-08-04,15.0,101.0,2835.0,201.0,7559.0,7238.0,13298.0,12933.086482919218,12.0
216,2015-08-05,16.0,101.0,2631.0,201.0,8688.0,7109.0,13491.0,12167.76020737954,7.0
217,2015-08-06,16.0,101.0,2971.0,201.0,7939.0,5535.0,12371.0,13419.611827163217,7.0
218,2015-08-07,17.0,101.0,2247.0,201.0,7637.0,7326.0,13537.0,12809.943964913842,12.0
219,2015-08-08,22.0,101.0,2192.0,201.0,7622.0,7624.0,12717.0,12972.187663077115,10.0
220,2015-08-09,15.0,101.0,2982.0,201.0,8234.0,6885.0,12693.0,12871.001761687377,15.0
221,2015-08-10,11.0,101.0,1759.0,201.0,7839.0,7097.0,13086.0,12564.028944762458,10.0
222,2015-08-11,22.0,101.0,2167.0,201.0,8413.0,5630.0,12320.0,13308.15532109304,15.0
223,2015-08-12,21.0,101.0,1748.0,201.0,8325.0,7780.0,12232.0,12145.38134359623,8.0
224,2015-08-13,15.0,101.0,1968.0,201.0,8791.0,7764.0,12803.0,13613.414361749374,16.0
225,2015-08-14,18.0,101.0,2340.0,201.0,8638.0,6545.0,13065.0,13256.870853380735,10.0
226,2015-08-15,15.0,101.0,2090.0,201.0,7905.0,6917.0,13567.0,13417.57235793946,6.0
227,2015-08-16,13.0,101.0,2978.0,201.0,7878.0,7596.0,12951.0,12763.27225927816,8.0
228,2015-08-17,13.0,101.0,3260.0,201.0,9166.0,7716.0,12358.0,12459.541328083049,7.0
229,2015-08-18,16.0,101.0,1656.0,201.0,7909.0,6370.0,12966.0,13004.272097288998,12.0
230,2015-08-19,12.0,101.0,1826.0,201.0,9028.0,6973.0,12223.0,12338.480894896336,6.0
231,2015-08-20,18.0,101.0,2618.0,201.0,8782.0,7252.0,12842.0,12728.373044285205,12.0
232,2015-08-21,20.0,101.0,2946.0,201.0,8468.0,6793.0,12752.0,12561.303106182657,8.0
233,2015-08-22,22.0,101.0,1865.0,201.0,8685.0,6968.0,12721.0,12995.115600867222,5.0
234,2015-08-23,15.0,101.0,2506.0,201.0,8298.0,7714.0,12179.0,13676.414644391452,15.0
235,2015-08-24,14.0,101.0,1835.0,201.0,8144.0,6371.0,13565.0,12519.29838016582,10.0
236,2015-08-25,15.0,101.0,2964.0,201.0,9153.0,6908.0,13508.0,12922.512831407306,21.0
237,2015-08-26,20.0,101.0,2043.0,201.0,8089.0,7886.0,13734.0,13624.923055412406,14.0
238,2015-08-27,21.0,101.0,2514.0,201.0,7779.0,6043.0,12634.0,12438.358710609416,11.0
239,2015-08-28,16.0,101.0,1895.0,201.0,8602.0,7007.0,12330.0,12614.674071310175,11.0
240,2015-08-29,11.0,101.0,3104.0,201.0,8106.0,6478.0,12641.0,12690.027326693218,10.0
241,2015-08-30,11.0,101.0,3252.0,201.0,8865.0,7630.0,12936.0,13618.863011860238,10.0
242,2015-08-31,12.0,101.0,3248.0,201.0,8853.0,6794.0,12955.0,13493.865311121324,8.0
243,2015-09-01,18.0,101.0,2856.0,201.0,9284.0,7893.0,12563.0,13345.826961155002,9.0
244,2015-09-02,12.0,101.0,2165.0,201.0,8089.0,7092.0,13237.0,13538.237350551524,12.0
245,2015-09-03,14.0,101.0,2577.0,201.0,7827.0,6368.0,13179.0,13022.604130607926,10.0
246,2015-09-04,11.0,101.0,1841.0,201.0,8530.0,6748.0,12475.0,13658.50689076399,9.0
247,2015-09-05,18.0,101.0,2586.0,201.0,9246.0,6394.0,12593.0,13731.964796502942,12.0
248,2015-09-06,11.0,101.0,2354.0,201.0,7896.0,7602.0,13670.0,12951.648641616794,10.0
249,2015-09-07,20.0,101.0,3008.0,201.0,7946.0,7949.0,13742.0,13314.210106576093,17.0
250,2015-09-08,14.0,101.0,2816.0,201.0,8018.0,7992.0,13068.0,12773.24989907309,9.0
251,2015-09-09,19.0,101.0,2418.0,201.0,9036.0,6876.0,14026.0,13476.60598200565,10.0
252,2015-09-10,17.0,101.0,2819.0,201.0,8035.0,7900.0,13750.0,13346.556618721888,14.0
253,2015-09-11,11.0,101.0,3327.0,201.0,8950.0,5992.0,13917.0,13609.343811187173,21.0
254,2015-09-12,17.0,101.0,2904.0,201.0,8738.0,6752.0,13953.0,13214.873434733425,13.0
255,2015-09-13,18.0,101.0,3310.0,201.0,7992.0,7569.0,13267.0,14053.473539345732,12.0
256,2015-09-14,12.0,101.0,3043.0,201.0,9111.0,8275.0,12590.0,13043.519690107094,14.0
257,2015-09-15,20.0,101.0,3280.0,201.0,8262.0,6316.0,13111.0,12834.339297390323,10.0
258,2015-09-16,17.0,101.0,3352.0,201.0,9046.0,8273.0,12518.0,13652.232748800374,7.0
259,2015-09-17,17.0,101.0,2778.0,201.0,8737.0,7757.0,12649.0,13113.326511306243,7.0
260,2015-09-18,18.0,101.0,2387.0,201.0,7952.0,7985.0,13027.0,13703.060988430523,10.0
261,2015-09-19,18.0,101.0,2466.0,201.0,8804.0,6581.0,12575.0,12932.913615460233,13.0
